Volkswagen,Amarok,Arteon,Beetle,Bora,Caddy,Caravelle,California,CC,Corrado,Crafter,CrossBlue Concept,Eos,E-up!,Fox,Golf,Garbus,Golf Plus,Golf Sportsvan,ID.3,Jetta,Karmann Ghia,L 80,LT,Lupo,New Beetle,Multivan,Passat,Phaeton,Polo,Routan,Scirocco,Sharan,T-Cross,T-Roc,Taigun,Tiguan,Touareg,Touran,Transporter,up!,Vento,XL1,,,,,,,,,,,,,,,,,,,,,,,,
Audi,100,200,80,90,    A1,    A2,    A3,    A5,    A4,    A6,    A7,    Crosslane coupé,    Allroad,    A8,    Le Mans Concept 2010,    e-tron,    Q2,    Q3,    Q7,    Q5,    Quattro,    Q8,    R8,    RS Q3,    RS3,    RS4,    RS6,    RS5,    RS7,    S1,    S3,    S4,    S5,    S6,    S7,    S8,    SQ5,    SQ7,    TT,    V8,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,    M1,    M3,    M4,    M5,    M6,    X1,    X2,    X3,    X5,    X4,    X6,    X7,    Z1,    Z3,    Z4,    Z8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nissan,    100 NX,    200 SX,    300 ZX,    350 Z,    370 Z,    Almera,    Alteon,    Altima,    Bluebird,    Cabstar,    Cube,    Evalia,    Frontier,    GT-R,    Interstar,    Juke,    Kubistar,    Lannia Concept,    Laurel,    Leaf,    Maxim,    Micra,    Murano,    Navara,    Note,    NP300,    NV200,    Pathfinder,    Patrol,    Pick up,    Pixo,    Prairie,    Primastar,    Primera,    Pulsar,    Qashqai,    Quest,    Rogue,    Sentra,    Serena,    Sport Sedan Concep,    Sunny,    Terrano,    Tiida,    Titan,    Trade,    Urvan,    Vanette,    X-trail,,,,,,,,,,,,,,,,,
Mazda,    Xedos,121,2,3,    3 MPS,323,5,6,626,929,    B-seria,    CX-3,    CX-30,    CX-5,    CX-7,    CX-9,    Demio,    E 2000,    E 2200,    Millenia,    MPV,    MX,    MX-3,    MX-30,    MX-5,    MX-6,    Premacy,    Protege,    RX,    RX-7,    RX-8,    Tribute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kia,    Cadenza,    Carens,    Carnival,    Cee'd,    Cerato,    Ceres,    Clarus,    Joice,    K 2500,    K 2700,    K 2900,    Magentis,    Niro,    Opirus,    Optima,    Picanto,    Pregio,    Pride,    Pro cee'd,    Retona,    Rio,    Rocsta,    Sedona,    Sephia,    Shuma,    Sorento,    Soul,    Spectra,    Sportage,    Stinger,    Stonic,    Venga,    Xceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamborghini,    Aventador,    Countach,    Diablo,    Gallardo,    Huracan,    Miura,    Murcielago,    Sesto Elemento,    Urus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Rover,    Defender,    Discovery,    Freelander,    Range Rover,    Range Rover Evoque,    Range Rover Spor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexus,    CT,    ES,    GS,    GX,    IS,    LC,    LF-CC,    LS,    LX,    NX,    RC,    RC-F,    RX,    SC,    UX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maserati,    3200 GT,    4200 GT (Coupe / Spyder),    Ghibli,    GranCabrio,    GranSport,    GranTurismo,    Levante,    MC12,    Quattroporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazda,121,2,3,    3 MPS,323,5,6,626,929,    B-seria,    CX-3,    CX-30,    CX-5,    CX-7,    CX-9,    Demio,    E 2000,    E 2200,    Millenia,    MPV,    MX,    MX-3,    MX-30,    MX-5,    MX-6,    Premacy,    Protege,    RX,    RX-7,    RX-8,    Tribute,    Xedos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,    3000 GT,    ASX,    Canter,    Carisma,    Colt,    Eclipse,    Endeavor,    Galant,    Grandis,    i-MiEV,    L 200,    L 300,    L 400,    Lancer,    Mirage,    Montero,    Montero Sport,    Outlander,    Outlander PHEV,    Pajero,    Santamo,    Sapporo,    Sigma,    Space Gear,    Space Runner,    Space Star,    Space Wagon,    Starion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyundai,    Accent,    Atos,    Coupe,    Elantra,    Equus,    Excel,    Galloper,    Genesis,    Getz,    Grandeur,    H-1,    H100,    HD,    i10,    i20,    i30,    i40,    Ioniq,    ix20,    ix35,    ix55,    Kona,    Lantra,    Matrix,    Pony,    S-Coupe,    Santa Fe,    Santamo,    Sonata,    Terracan,    Trajet,    Tucson,    Veloster,    XG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,    Accord,    City,    Civic,    Concerto,    CR-V,    CR-Z,    CRX,    E,    Element,    FCX,    Fit,    FR-V,    HR-V,    Insight,    Integra,    Jazz,    Legend,    Logo,    NSX,    Odyssey,    Pilot,    Prelude,    Ridgeline,    S2000,    Shuttle,    Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugot,1007,106,107,108,2008,205,206,207,208,3008,301,305,306,307,308,309,4007,405,406,407,5008,505,508,605,607,806,807,    Bipper,    Boxer,    Expert,    iOn,    J5,    Partner,    RCZ,    Rifter,    Traveller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault,    Alpine,    Arkana,    Avantime,    Captur,    Clio,    Ellypse,    Espace,    Express,    Fluence,    Fuego,    Grand Espace,    Grand Modus,    Grand Scenic,    Kadjar,    Kangoo,    Kerax,    Koleos,    Laguna,    Latitude,    Magnum,    Mascott,    Master,    Maxity,    Megane,,    Messenger,    Midliner,    Midlum,    Modus,    Premium,    Rapid,    Safrane,    Scenic,    Seria G,    Seria R,    Seria T,    Talisman,    Thalia,    Trafic,    Twingo,    Twizy,    Vel Satis,    Wind,    Zoe,,,,,,,,,,,,,,,,,,,,,,
Porsche,356,911,914,918,924,928,944,959,968,    Boxster,    Carrera GT,    Cayenne,    Cayman,    Macan,    Panamera,    Taycan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skoda,105,120,130,    Citigo,    Fabia,    Favorit,    Felicia,    Forman,    Kamiq,    Karoq,    Kodiaq,    Octavia,    Praktik,    Rapid,    Roomster,    Scala,    Superb,    Yeti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
